"Series";"Time";"Value"
"CPU0";"2020-03-24T11:00:00";79
"CPU0";"2020-03-24T11:00:00";78
"CPU0";"2020-03-24T11:30:00";78
"CPU0";"2020-03-24T11:30:00";77
"CPU0";"2020-03-24T11:30:00";79
"CPU0";"2020-03-24T12:00:00";77
"CPU0";"2020-03-24T12:00:00";78
"CPU0";"2020-03-24T12:00:00";79
"CPU0";"2020-03-24T12:00:00";80
"CPU0";"2020-03-24T12:30:00";79
"CPU0";"2020-03-24T12:30:00";78
"CPU0";"2020-03-24T12:30:00";80
"CPU0";"2020-03-24T13:00:00";78
"CPU0";"2020-03-24T13:00:00";79
"CPU0";"2020-03-24T13:00:00";80
"CPU0";"2020-03-24T13:30:00";80
"CPU0";"2020-03-24T13:30:00";79
"CPU0";"2020-03-24T13:30:00";78
"CPU0";"2020-03-24T14:00:00";78
"CPU0";"2020-03-24T14:00:00";80
"CPU0";"2020-03-24T14:00:00";79
"CPU0";"2020-03-24T14:00:00";81
"CPU0";"2020-03-24T14:30:00";78
"CPU0";"2020-03-24T14:30:00";80
"CPU0";"2020-03-24T14:30:00";79
"CPU0";"2020-03-24T14:30:00";81
"CPU0";"2020-03-24T15:00:00";80
"CPU0";"2020-03-24T15:00:00";79
"CPU0";"2020-03-24T15:00:00";78
"CPU0";"2020-03-24T15:00:00";81
"CPU0";"2020-03-24T15:30:00";80
"CPU0";"2020-03-24T15:30:00";79
"CPU0";"2020-03-24T15:30:00";78
"CPU0";"2020-03-24T16:00:00";79
"CPU0";"2020-03-24T16:00:00";78
"CPU0";"2020-03-24T16:00:00";80
"CPU0";"2020-03-24T16:30:00";78
"CPU0";"2020-03-24T16:30:00";79
"CPU0";"2020-03-24T16:30:00";80
"CPU0";"2020-03-24T17:00:00";78
"CPU0";"2020-03-24T17:00:00";79
"CPU0";"2020-03-24T17:00:00";80
"CPU0";"2020-03-24T17:30:00";78
"CPU0";"2020-03-24T17:30:00";79
"CPU0";"2020-03-24T17:30:00";80
"CPU0";"2020-03-24T18:00:00";78
"CPU0";"2020-03-24T18:00:00";79
"CPU0";"2020-03-24T18:00:00";80
"CPU0";"2020-03-24T18:00:00";81
"CPU0";"2020-03-24T18:30:00";80
"CPU0";"2020-03-24T18:30:00";78
"CPU0";"2020-03-24T18:30:00";79
"CPU0";"2020-03-24T19:00:00";80
"CPU0";"2020-03-24T19:00:00";79
"CPU0";"2020-03-24T19:00:00";78
"CPU0";"2020-03-24T19:30:00";80
"CPU0";"2020-03-24T19:30:00";79
"CPU0";"2020-03-24T19:30:00";78
"CPU0";"2020-03-24T20:00:00";79
"CPU0";"2020-03-24T20:00:00";78
"CPU0";"2020-03-24T20:00:00";80
"CPU0";"2020-03-24T20:30:00";78
"CPU0";"2020-03-24T20:30:00";79
"CPU0";"2020-03-24T20:30:00";80
"CPU0";"2020-03-24T21:00:00";79
"CPU0";"2020-03-24T21:00:00";78
"CPU0";"2020-03-24T21:00:00";80
"CPU0";"2020-03-24T21:30:00";79
"CPU0";"2020-03-24T21:30:00";78
"CPU0";"2020-03-24T21:30:00";80
"CPU0";"2020-03-24T22:00:00";78
"CPU0";"2020-03-24T22:00:00";79
"CPU0";"2020-03-24T22:00:00";80
"CPU0";"2020-03-24T22:30:00";78
"CPU0";"2020-03-24T22:30:00";79
"CPU0";"2020-03-24T22:30:00";80
"CPU0";"2020-03-24T23:00:00";79
"CPU0";"2020-03-24T23:00:00";77
"CPU0";"2020-03-24T23:00:00";78
"CPU0";"2020-03-24T23:30:00";78
"CPU0";"2020-03-24T23:30:00";79
"CPU0";"2020-03-24T23:30:00";80
"CPU0";"2020-03-24T23:30:00";77
"CPU0";"2020-03-25T00:00:00";78
"CPU0";"2020-03-25T00:00:00";79
"CPU0";"2020-03-25T00:00:00";77
"CPU0";"2020-03-25T00:30:00";78
"CPU0";"2020-03-25T00:30:00";77
"CPU0";"2020-03-25T00:30:00";79
"CPU0";"2020-03-25T01:00:00";79
"CPU0";"2020-03-25T01:00:00";77
"CPU0";"2020-03-25T01:00:00";78
"CPU0";"2020-03-25T01:30:00";77
"CPU0";"2020-03-25T01:30:00";79
"CPU0";"2020-03-25T01:30:00";78
"CPU0";"2020-03-25T02:00:00";78
"CPU0";"2020-03-25T02:00:00";77
"CPU0";"2020-03-25T02:00:00";79
"CPU0";"2020-03-25T02:00:00";80
"CPU0";"2020-03-25T02:30:00";77
"CPU0";"2020-03-25T02:30:00";78
"CPU0";"2020-03-25T02:30:00";79
"CPU0";"2020-03-25T03:00:00";79
"CPU0";"2020-03-25T03:00:00";77
"CPU0";"2020-03-25T03:00:00";78
"CPU0";"2020-03-25T03:30:00";77
"CPU0";"2020-03-25T03:30:00";78
"CPU0";"2020-03-25T03:30:00";79
"CPU0";"2020-03-25T04:00:00";78
"CPU0";"2020-03-25T04:00:00";77
"CPU0";"2020-03-25T04:00:00";79
"CPU0";"2020-03-25T04:30:00";77
"CPU0";"2020-03-25T04:30:00";78
"CPU0";"2020-03-25T04:30:00";79
"CPU0";"2020-03-25T05:00:00";78
"CPU0";"2020-03-25T05:00:00";77
"CPU0";"2020-03-25T05:00:00";79
"CPU0";"2020-03-25T05:30:00";77
"CPU0";"2020-03-25T05:30:00";78
"CPU0";"2020-03-25T05:30:00";79
"CPU0";"2020-03-25T06:00:00";78
"CPU0";"2020-03-25T06:00:00";77
"CPU0";"2020-03-25T06:00:00";79
"CPU0";"2020-03-25T06:30:00";77
"CPU0";"2020-03-25T06:30:00";79
"CPU0";"2020-03-25T06:30:00";78
"CPU0";"2020-03-25T06:30:00";76
"CPU0";"2020-03-25T07:00:00";77
"CPU0";"2020-03-25T07:00:00";78
"CPU0";"2020-03-25T07:00:00";79
"CPU0";"2020-03-25T07:30:00";77
"CPU0";"2020-03-25T07:30:00";79
"CPU0";"2020-03-25T07:30:00";78
"CPU0";"2020-03-25T07:30:00";76
"CPU0";"2020-03-25T08:00:00";78
"CPU0";"2020-03-25T08:00:00";77
"CPU0";"2020-03-25T08:00:00";79
"CPU0";"2020-03-25T08:30:00";77
"CPU0";"2020-03-25T08:30:00";78
"CPU0";"2020-03-25T09:00:00";78
"CPU0";"2020-03-25T09:00:00";77
"CPU0";"2020-03-25T09:00:00";79
"CPU0";"2020-03-25T09:30:00";77
"CPU0";"2020-03-25T09:30:00";78
"CPU0";"2020-03-25T09:30:00";79
"CPU0";"2020-03-25T10:00:00";78
"CPU0";"2020-03-25T10:00:00";77
"CPU0";"2020-03-25T10:00:00";79
"CPU0";"2020-03-25T10:30:00";76
"CPU0";"2020-03-25T10:30:00";78
"CPU0";"2020-03-25T10:30:00";77
"CPU0";"2020-03-25T10:30:00";79
"CPU0";"2020-03-25T11:00:00";80
"CPU0";"2020-03-25T11:00:00";77
"CPU0";"2020-03-25T11:00:00";78
"CPU0";"2020-03-25T11:00:00";79
"CPU0";"2020-03-25T11:30:00";77
"CPU0";"2020-03-25T11:30:00";78
"CPU0";"2020-03-25T11:30:00";79
"CPU0";"2020-03-25T12:00:00";79
"CPU0";"2020-03-25T12:00:00";77
"CPU0";"2020-03-25T12:00:00";78
"CPU0";"2020-03-25T12:30:00";78
"CPU0";"2020-03-25T12:30:00";80
"CPU0";"2020-03-25T12:30:00";79
"CPU0";"2020-03-25T13:00:00";79
"CPU0";"2020-03-25T13:00:00";78
"CPU0";"2020-03-25T13:00:00";80
"CPU0";"2020-03-25T13:00:00";81
