"Series";"Time";"Value"
"CPU0";"2019-08-27T12:14:00";78
"CPU0";"2019-08-27T12:16:00";79
"CPU0";"2019-08-27T12:18:00";78
"CPU0";"2019-08-27T12:20:00";78
"CPU0";"2019-08-27T12:22:00";78
"CPU0";"2019-08-27T12:22:00";79
"CPU0";"2019-08-27T12:24:00";78
"CPU0";"2019-08-27T12:26:00";78
"CPU0";"2019-08-27T12:28:00";80
"CPU0";"2019-08-27T12:30:00";78
"CPU0";"2019-08-27T12:30:00";79
"CPU0";"2019-08-27T12:32:00";79
"CPU0";"2019-08-27T12:32:00";80
"CPU0";"2019-08-27T12:34:00";79
"CPU0";"2019-08-27T12:36:00";79
"CPU0";"2019-08-27T12:38:00";79
"CPU0";"2019-08-27T12:40:00";81
"CPU0";"2019-08-27T12:40:00";80
"CPU0";"2019-08-27T12:42:00";79
"CPU0";"2019-08-27T12:42:00";78
"CPU0";"2019-08-27T12:44:00";79
"CPU0";"2019-08-27T12:44:00";80
"CPU0";"2019-08-27T12:46:00";79
"CPU0";"2019-08-27T12:48:00";80
"CPU0";"2019-08-27T12:50:00";79
"CPU0";"2019-08-27T12:50:00";78
"CPU0";"2019-08-27T12:52:00";78
"CPU0";"2019-08-27T12:52:00";79
"CPU0";"2019-08-27T12:54:00";78
"CPU0";"2019-08-27T12:54:00";79
"CPU0";"2019-08-27T12:56:00";80
"CPU0";"2019-08-27T12:58:00";79
"CPU0";"2019-08-27T13:00:00";80
"CPU0";"2019-08-27T13:00:00";81
"CPU0";"2019-08-27T13:02:00";79
"CPU0";"2019-08-27T13:02:00";78
"CPU0";"2019-08-27T13:04:00";80
"CPU0";"2019-08-27T13:06:00";79
"CPU0";"2019-08-27T13:08:00";80
"CPU0";"2019-08-27T13:10:00";79
"CPU0";"2019-08-27T13:12:00";80
"CPU0";"2019-08-27T13:12:00";79
"CPU0";"2019-08-27T13:14:00";79
"CPU0";"2019-08-27T13:16:00";80
"CPU0";"2019-08-27T13:18:00";79
"CPU0";"2019-08-27T13:20:00";80
"CPU0";"2019-08-27T13:22:00";79
"CPU0";"2019-08-27T13:24:00";80
"CPU0";"2019-08-27T13:26:00";79
"CPU0";"2019-08-27T13:28:00";80
"CPU0";"2019-08-27T13:30:00";79
"CPU0";"2019-08-27T13:32:00";80
"CPU0";"2019-08-27T13:34:00";79
"CPU0";"2019-08-27T13:36:00";79
"CPU0";"2019-08-27T13:36:00";80
"CPU0";"2019-08-27T13:38:00";79
"CPU0";"2019-08-27T13:40:00";81
